season,week,game_id,gameday,home_team,away_team,book_key,book_title,region,home_point,home_price,away_point,away_price,home_spread_normalized,home_implied_prob_devigged,away_implied_prob_devigged,nflverse_spread_line,deviation_pts,fetched_at,source_week_snapshot
2026,2,2026_02_CAR_ATL,2026-09-20,ATL,CAR,betano_ca_on,Betano (CA - ON),ca,2.5,-108,-2.5,-122,-2.5,0.485816177662506,0.5141838223374939,-2.5,0.0,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CAR_ATL,2026-09-20,ATL,CAR,betmgm,BetMGM,us,2.5,-102,-2.5,-118,-2.5,0.4826358742837298,0.5173641257162702,-2.5,0.0,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CAR_ATL,2026-09-20,ATL,CAR,betmgm_ca_on,BetMGM (CA - ON),ca,2.5,-102,-2.5,-118,-2.5,0.4826358742837298,0.5173641257162702,-2.5,0.0,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CAR_ATL,2026-09-20,ATL,CAR,betonlineag,BetOnline.ag,us,2.5,-102,-2.5,-118,-2.5,0.4826358742837298,0.5173641257162702,-2.5,0.0,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CAR_ATL,2026-09-20,ATL,CAR,betrivers,BetRivers,us,3.0,-117,-3.0,-105,-3.0,0.5128287363694676,0.4871712636305324,-2.5,-0.5,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CAR_ATL,2026-09-20,ATL,CAR,betrivers_ca_on,BetRivers (CA - ON),ca,3.0,-117,-3.0,-105,-3.0,0.5128287363694676,0.4871712636305324,-2.5,-0.5,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CAR_ATL,2026-09-20,ATL,CAR,betus,BetUS,us,2.0,100,-2.0,-120,-2.0,0.4782608695652174,0.5217391304347826,-2.5,0.5,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CAR_ATL,2026-09-20,ATL,CAR,bovada,Bovada,us,2.5,100,-2.5,-120,-2.5,0.4782608695652174,0.5217391304347826,-2.5,0.0,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CAR_ATL,2026-09-20,ATL,CAR,draftkings,DraftKings,us,2.5,100,-2.5,-120,-2.5,0.4782608695652174,0.5217391304347826,-2.5,0.0,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CAR_ATL,2026-09-20,ATL,CAR,fanduel,FanDuel,us,2.5,-104,-2.5,-118,-2.5,0.4850248160191682,0.5149751839808319,-2.5,0.0,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CAR_ATL,2026-09-20,ATL,CAR,lowvig,LowVig.ag,us,2.5,102,-2.5,-113,-2.5,0.4827086071703758,0.5172913928296242,-2.5,0.0,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CAR_ATL,2026-09-20,ATL,CAR,mybookieag,MyBookie.ag,us,2.5,-110,-2.5,-110,-2.5,0.5,0.5,-2.5,0.0,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CAR_ATL,2026-09-20,ATL,CAR,playnow_ca,PlayNow (CA),ca,1.5,110,-1.5,-137,-1.5,0.4516866781017724,0.5483133218982276,-2.5,1.0,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CAR_ATL,2026-09-20,ATL,CAR,pointsbetca,PointsBet (CA - ON),ca,2.5,100,-2.5,-120,-2.5,0.4782608695652174,0.5217391304347826,-2.5,0.0,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CAR_ATL,2026-09-20,ATL,CAR,proline_ca_on,PROLINE (CA - ON),ca,3.0,-132,-3.0,-117,-3.0,0.5134437513443753,0.4865562486556247,-2.5,-0.5,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CAR_ATL,2026-09-20,ATL,CAR,sportsinteraction_ca_on,Sports Interaction (CA - ON),ca,2.5,-102,-2.5,-118,-2.5,0.4826358742837298,0.5173641257162702,-2.5,0.0,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CIN_HOU,2026-09-20,HOU,CIN,betano_ca_on,Betano (CA - ON),ca,-2.5,-118,2.5,-114,2.5,0.5039916972696792,0.4960083027303208,3.0,-0.5,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CIN_HOU,2026-09-20,HOU,CIN,betmgm,BetMGM,us,-2.5,-118,2.5,-102,2.5,0.5173641257162701,0.4826358742837299,3.0,-0.5,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CIN_HOU,2026-09-20,HOU,CIN,betmgm_ca_on,BetMGM (CA - ON),ca,-2.5,-118,2.5,-102,2.5,0.5173641257162701,0.4826358742837299,3.0,-0.5,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CIN_HOU,2026-09-20,HOU,CIN,betonlineag,BetOnline.ag,us,-2.5,-120,2.5,100,2.5,0.5217391304347826,0.4782608695652174,3.0,-0.5,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CIN_HOU,2026-09-20,HOU,CIN,betrivers,BetRivers,us,-2.5,-114,2.5,-108,2.5,0.5064069707842132,0.4935930292157868,3.0,-0.5,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CIN_HOU,2026-09-20,HOU,CIN,betrivers_ca_on,BetRivers (CA - ON),ca,-2.5,-114,2.5,-108,2.5,0.5064069707842132,0.4935930292157868,3.0,-0.5,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CIN_HOU,2026-09-20,HOU,CIN,betus,BetUS,us,-3.0,100,3.0,-120,3.0,0.4782608695652174,0.5217391304347826,3.0,0.0,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CIN_HOU,2026-09-20,HOU,CIN,bovada,Bovada,us,-3.0,105,3.0,-125,3.0,0.4675324675324675,0.5324675324675325,3.0,0.0,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CIN_HOU,2026-09-20,HOU,CIN,draftkings,DraftKings,us,-3.0,-102,3.0,-118,3.0,0.4826358742837298,0.5173641257162702,3.0,0.0,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CIN_HOU,2026-09-20,HOU,CIN,fanduel,FanDuel,us,-2.5,-115,2.5,-105,2.5,0.5108342361863488,0.4891657638136512,3.0,-0.5,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CIN_HOU,2026-09-20,HOU,CIN,lowvig,LowVig.ag,us,-2.5,-115,2.5,104,2.5,0.521797153024911,0.4782028469750889,3.0,-0.5,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CIN_HOU,2026-09-20,HOU,CIN,mybookieag,MyBookie.ag,us,-2.5,-120,2.5,100,2.5,0.5217391304347826,0.4782608695652174,3.0,-0.5,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CIN_HOU,2026-09-20,HOU,CIN,playnow_ca,PlayNow (CA),ca,-1.5,-137,1.5,110,1.5,0.5483133218982277,0.4516866781017723,3.0,-1.5,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CIN_HOU,2026-09-20,HOU,CIN,pointsbetca,PointsBet (CA - ON),ca,-2.5,-120,2.5,100,2.5,0.5217391304347826,0.4782608695652174,3.0,-0.5,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CIN_HOU,2026-09-20,HOU,CIN,proline_ca_on,PROLINE (CA - ON),ca,-2.5,-129,2.5,-121,2.5,0.5071151588459212,0.4928848411540788,3.0,-0.5,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CIN_HOU,2026-09-20,HOU,CIN,sportsinteraction_ca_on,Sports Interaction (CA - ON),ca,-2.5,-118,2.5,-102,2.5,0.5173641257162701,0.4826358742837299,3.0,-0.5,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CLE_TB,2026-09-20,TB,CLE,betano_ca_on,Betano (CA - ON),ca,-7.5,-120,7.5,-110,7.5,0.5101214574898786,0.4898785425101214,7.5,0.0,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CLE_TB,2026-09-20,TB,CLE,betmgm,BetMGM,us,-8.0,-110,8.0,-108,8.0,0.5021949078138718,0.4978050921861282,7.5,0.5,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CLE_TB,2026-09-20,TB,CLE,betmgm_ca_on,BetMGM (CA - ON),ca,-8.0,-110,8.0,-108,8.0,0.5021949078138718,0.4978050921861282,7.5,0.5,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CLE_TB,2026-09-20,TB,CLE,betonlineag,BetOnline.ag,us,-9.0,-101,9.0,-119,9.0,0.4804509318389157,0.5195490681610844,7.5,1.5,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CLE_TB,2026-09-20,TB,CLE,betrivers,BetRivers,us,-8.0,-114,8.0,-107,8.0,0.507527529249828,0.492472470750172,7.5,0.5,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CLE_TB,2026-09-20,TB,CLE,betrivers_ca_on,BetRivers (CA - ON),ca,-8.0,-114,8.0,-107,8.0,0.507527529249828,0.492472470750172,7.5,0.5,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CLE_TB,2026-09-20,TB,CLE,betus,BetUS,us,-9.0,100,9.0,-120,9.0,0.4782608695652174,0.5217391304347826,7.5,1.5,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CLE_TB,2026-09-20,TB,CLE,bovada,Bovada,us,-8.0,-110,8.0,-110,8.0,0.5,0.5,7.5,0.5,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CLE_TB,2026-09-20,TB,CLE,draftkings,DraftKings,us,-8.5,-105,8.5,-115,8.5,0.4891657638136511,0.5108342361863489,7.5,1.0,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CLE_TB,2026-09-20,TB,CLE,fanduel,FanDuel,us,-8.5,100,8.5,-122,8.5,0.4763948497854076,0.5236051502145924,7.5,1.0,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CLE_TB,2026-09-20,TB,CLE,lowvig,LowVig.ag,us,-9.0,104,9.0,-115,9.0,0.478202846975089,0.521797153024911,7.5,1.5,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CLE_TB,2026-09-20,TB,CLE,mybookieag,MyBookie.ag,us,-8.0,-110,8.0,-110,8.0,0.5,0.5,7.5,0.5,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CLE_TB,2026-09-20,TB,CLE,playnow_ca,PlayNow (CA),ca,-8.0,-108,8.0,-115,8.0,0.4925753075943997,0.5074246924056003,7.5,0.5,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CLE_TB,2026-09-20,TB,CLE,pointsbetca,PointsBet (CA - ON),ca,-8.5,-105,8.5,-115,8.5,0.4891657638136511,0.5108342361863489,7.5,1.0,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CLE_TB,2026-09-20,TB,CLE,proline_ca_on,PROLINE (CA - ON),ca,-8.5,-120,8.5,-129,8.5,0.4919441460794844,0.5080558539205156,7.5,1.0,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_CLE_TB,2026-09-20,TB,CLE,sportsinteraction_ca_on,Sports Interaction (CA - ON),ca,-8.0,-110,8.0,-108,8.0,0.5021949078138718,0.4978050921861282,7.5,0.5,2026-09-20T11:24:00,market_spreads_week2_2026.csv
2026,2,2026_02_DET_BUF,2026-09-17,BUF,DET,betano_ca_on,Betano (CA - ON),ca,-5.5,-115,5.5,-114,5.5,0.5010179153094463,0.4989820846905537,4.5,1.0,2026-09-17T11:58:04,market_spreads_week2_2026.csv
2026,2,2026_02_DET_BUF,2026-09-17,BUF,DET,betmgm,BetMGM,us,-5.5,-110,5.5,-108,5.5,0.5021949078138718,0.4978050921861282,4.5,1.0,2026-09-17T11:58:04,market_spreads_week2_2026.csv
2026,2,2026_02_DET_BUF,2026-09-17,BUF,DET,betmgm_ca_on,BetMGM (CA - ON),ca,-5.5,-110,5.5,-108,5.5,0.5021949078138718,0.4978050921861282,4.5,1.0,2026-09-17T11:58:04,market_spreads_week2_2026.csv
2026,2,2026_02_DET_BUF,2026-09-17,BUF,DET,betonlineag,BetOnline.ag,us,-5.5,-110,5.5,-110,5.5,0.5,0.5,4.5,1.0,2026-09-17T11:58:04,market_spreads_week2_2026.csv
2026,2,2026_02_DET_BUF,2026-09-17,BUF,DET,betrivers,BetRivers,us,-5.0,-112,5.0,-109,5.0,0.5032246968784934,0.4967753031215066,4.5,0.5,2026-09-17T11:58:04,market_spreads_week2_2026.csv
2026,2,2026_02_DET_BUF,2026-09-17,BUF,DET,betrivers_ca_on,BetRivers (CA - ON),ca,-5.0,-112,5.0,-109,5.0,0.5032246968784934,0.4967753031215066,4.5,0.5,2026-09-17T11:58:04,market_spreads_week2_2026.csv
